"evidence: CCMI","evidence: Co-dependence","evidence: mRNA co-expression","evidence: Physical","evidence: Protein co-expression","evidence: Sequence similarity","Integrated score","interaction","name","selected","shared interaction","shared name"
"0","0.137","0.456","0.191","0.003","0.071","0.242","interacts-with","PTTG1 (interacts-with) SKA3","false","interacts-with","PTTG1 (interacts-with) SKA3"
"0","0.117","0.431","0.014","0.02","0.036","0.289","interacts-with","COL5A1 (interacts-with) ZNF469","false","interacts-with","COL5A1 (interacts-with) ZNF469"
"0","0.06","0.284","0.035","0.02","0.036","0.23","interacts-with","ZNF493 (interacts-with) ZNF559","false","interacts-with","ZNF493 (interacts-with) ZNF559"
"0","0.004","0.482","0.172","0.497","0.011","0.514","interacts-with","FLNA (interacts-with) MYH11","false","interacts-with","FLNA (interacts-with) MYH11"
"0","0.063","0.459","0.142","0.123","0.078","0.263","interacts-with","FANCD2 (interacts-with) RAD54B","false","interacts-with","FANCD2 (interacts-with) RAD54B"
"0","0.088","0.23","0.059","0.504","0.014","0.269","interacts-with","CNN2 (interacts-with) ILK","false","interacts-with","CNN2 (interacts-with) ILK"
"0","0.004","0.081","0.077","0.313","0.154","0.225","interacts-with","C4B (interacts-with) LPA","false","interacts-with","C4B (interacts-with) LPA"
"0","0.031","0.316","0.038","0.02","0.036","0.181","interacts-with","ZNF491 (interacts-with) ZNF559","false","interacts-with","ZNF491 (interacts-with) ZNF559"
"0","0.166","0.241","0.229","0.28","0.036","0.221","interacts-with","BOD1 (interacts-with) SETD1A","false","interacts-with","BOD1 (interacts-with) SETD1A"
"0","0.068","0.249","0.522","0.427","0.526","0.606","interacts-with","PRPF8 (interacts-with) SF3A2","false","interacts-with","PRPF8 (interacts-with) SF3A2"
"0","0.07","0.366","0.546","0.471","0.529","0.689","interacts-with","PRPF8 (interacts-with) SF3A3","false","interacts-with","PRPF8 (interacts-with) SF3A3"
"0","0.003","0.143","0.108","0.401","0.002","0.197","interacts-with","FLNA (interacts-with) NEFH","false","interacts-with","FLNA (interacts-with) NEFH"
"0","0.066","0.481","0.084","0.058","0.036","0.357","interacts-with","MYH7 (interacts-with) XIRP1","false","interacts-with","MYH7 (interacts-with) XIRP1"
"0","0.147","0.544","0.051","0.244","0.0","0.427","interacts-with","BIRC6 (interacts-with) USP34","false","interacts-with","BIRC6 (interacts-with) USP34"
"0","0.175","0.194","0.387","0.248","0.11","0.197","interacts-with","ITPR3 (interacts-with) PLEC","false","interacts-with","ITPR3 (interacts-with) PLEC"
"0","0.011","0.352","0.07","0.381","0.095","0.327","interacts-with","ARHGAP4 (interacts-with) DOCK2","false","interacts-with","ARHGAP4 (interacts-with) DOCK2"
"0","0.156","0.227","0.514","0.06","0.01","0.572","interacts-with","TAF1A (interacts-with) TBP","false","interacts-with","TAF1A (interacts-with) TBP"
"0","0.051","0.251","0.209","0.161","0.079","0.215","interacts-with","BPTF (interacts-with) KMT2B","false","interacts-with","BPTF (interacts-with) KMT2B"
"0","0.032","0.321","0.058","0.321","0.005","0.237","interacts-with","HLA-C (interacts-with) HLA-DQA1","false","interacts-with","HLA-C (interacts-with) HLA-DQA1"
"0","0.002","0.361","0.025","0.041","0.172","0.227","interacts-with","HLA-C (interacts-with) HLA-DQA2","false","interacts-with","HLA-C (interacts-with) HLA-DQA2"
"0","0.004","0.282","0.099","0.323","0.075","0.248","interacts-with","ARHGAP4 (interacts-with) DOCK8","false","interacts-with","ARHGAP4 (interacts-with) DOCK8"
"0","0.344","0.382","0.004","0.037","0.073","0.275","interacts-with","LILRA1 (interacts-with) LILRA2","false","interacts-with","LILRA1 (interacts-with) LILRA2"
"0","0.023","0.044","0.184","0.005","0.375","0.204","interacts-with","KRTAP4-5 (interacts-with) KRTAP5-2","false","interacts-with","KRTAP4-5 (interacts-with) KRTAP5-2"
"0","0.033","0.288","0.014","0.02","0.036","0.215","interacts-with","ZNF506 (interacts-with) ZNF559","false","interacts-with","ZNF506 (interacts-with) ZNF559"
"0","0.004","0.287","0.003","0.242","0.133","0.209","interacts-with","FLNA (interacts-with) PGM5","false","interacts-with","FLNA (interacts-with) PGM5"
"0","0.14","0.34","0.014","0.02","0.036","0.181","interacts-with","ZNF506 (interacts-with) ZNF626","false","interacts-with","ZNF506 (interacts-with) ZNF626"
"0","0.023","0.397","0.014","0.02","0.036","0.207","interacts-with","ZNF506 (interacts-with) ZNF708","false","interacts-with","ZNF506 (interacts-with) ZNF708"
"0","0.112","0.463","0.168","0.041","0.001","0.326","interacts-with","LILRA1 (interacts-with) LILRB2","false","interacts-with","LILRA1 (interacts-with) LILRB2"
"0","0.055","0.503","0.168","0.048","0.073","0.386","interacts-with","LILRA1 (interacts-with) LILRB1","false","interacts-with","LILRA1 (interacts-with) LILRB1"
"0","0.059","0.126","0.071","0.568","0.103","0.332","interacts-with","SPTA1 (interacts-with) SPTB","false","interacts-with","SPTA1 (interacts-with) SPTB"
"0","0.101","0.013","0.193","0.044","0.382","0.245","interacts-with","KRTAP4-5 (interacts-with) KRTAP10-8","false","interacts-with","KRTAP4-5 (interacts-with) KRTAP10-8"
"0","0.035","0.28","0.004","0.351","0.118","0.181","interacts-with","SIRPA (interacts-with) STAB1","false","interacts-with","SIRPA (interacts-with) STAB1"
"0","0.218","0.397","0.249","0.229","0.01","0.286","interacts-with","CHD8 (interacts-with) KMT2D","false","interacts-with","CHD8 (interacts-with) KMT2D"
"0","0.031","0.585","0.411","0.001","0.006","0.548","interacts-with","KRT6B (interacts-with) KRT6C","false","interacts-with","KRT6B (interacts-with) KRT6C"
"0","0.055","0.225","0.142","0.133","0.472","0.265","interacts-with","ABL2 (interacts-with) ENAH","false","interacts-with","ABL2 (interacts-with) ENAH"
"0","0.075","0.408","0.299","0.525","0.013","0.476","interacts-with","C3 (interacts-with) SERPINA1","false","interacts-with","C3 (interacts-with) SERPINA1"
"0","0.103","0.203","0.393","0.08","0.014","0.214","interacts-with","ITPR3 (interacts-with) SPTAN1","false","interacts-with","ITPR3 (interacts-with) SPTAN1"
"0","0.185","0.42","0.044","0.436","0.013","0.389","interacts-with","DOCK8 (interacts-with) VAV1","false","interacts-with","DOCK8 (interacts-with) VAV1"
"0","0.015","0.474","0.246","0.254","0.095","0.306","interacts-with","BAZ1B (interacts-with) CHD8","false","interacts-with","BAZ1B (interacts-with) CHD8"
"0","0.033","0.365","0.134","0.275","0.001","0.242","interacts-with","ITGA2 (interacts-with) PTK2B","false","interacts-with","ITGA2 (interacts-with) PTK2B"
"0","0.078","0.471","0.014","0.02","0.036","0.296","interacts-with","ZNF527 (interacts-with) ZNF529","false","interacts-with","ZNF527 (interacts-with) ZNF529"
"0","0.031","0.311","0.494","0.362","0.036","0.443","interacts-with","ARID2 (interacts-with) BCL7A","false","interacts-with","ARID2 (interacts-with) BCL7A"
"1","0.032","0.189","0.534","0.138","0.001","0.801","interacts-with","CUL9 (interacts-with) TP53","false","interacts-with","CUL9 (interacts-with) TP53"
"0","0.135","0.107","0.076","0.069","0.343","0.345","interacts-with","ABCA1 (interacts-with) ABCA7","false","interacts-with","ABCA1 (interacts-with) ABCA7"
"0","0.011","0.166","0.074","0.504","0.008","0.44","interacts-with","C4B (interacts-with) SERPINA1","false","interacts-with","C4B (interacts-with) SERPINA1"
"0","0.073","0.329","0.064","0.3","0.158","0.231","interacts-with","HLA-C (interacts-with) HLA-DRB5","false","interacts-with","HLA-C (interacts-with) HLA-DRB5"
"0","0.073","0.332","0.014","0.072","0.036","0.2","interacts-with","ZNF257 (interacts-with) ZNF493","false","interacts-with","ZNF257 (interacts-with) ZNF493"
"0","0.358","0.591","0.721","0.75","0.835","0.947","interacts-with","PRPF8 (interacts-with) SNRNP200","false","interacts-with","PRPF8 (interacts-with) SNRNP200"
"0","0.118","0.381","0.266","0.252","0.007","0.27","interacts-with","CHD8 (interacts-with) SETD1A","false","interacts-with","CHD8 (interacts-with) SETD1A"
"0","0.055","0.611","0.171","0.688","0.343","0.717","interacts-with","HLA-A (interacts-with) HLA-B","false","interacts-with","HLA-A (interacts-with) HLA-B"
"0","0.314","0.548","0.44","0.538","0.343","0.621","interacts-with","HLA-A (interacts-with) HLA-C","false","interacts-with","HLA-A (interacts-with) HLA-C"
"0","0.032","0.391","0.056","0.377","0.071","0.31","interacts-with","HLA-A (interacts-with) HLA-DQA1","false","interacts-with","HLA-A (interacts-with) HLA-DQA1"
"0","0.209","0.2","0.201","0.394","0.214","0.269","interacts-with","EZR (interacts-with) FAM83H","false","interacts-with","EZR (interacts-with) FAM83H"
"0","0.311","0.414","0.064","0.502","0.073","0.379","interacts-with","PRSS1 (interacts-with) PRSS3","false","interacts-with","PRSS1 (interacts-with) PRSS3"
"0","0.109","0.378","0.002","0.008","0.071","0.202","interacts-with","HLA-A (interacts-with) HLA-DQA2","false","interacts-with","HLA-A (interacts-with) HLA-DQA2"
"0","0.143","0.421","0.077","0.071","0.013","0.21","interacts-with","RYR1 (interacts-with) TTN","false","interacts-with","RYR1 (interacts-with) TTN"
"0","0.075","0.499","0.428","0.526","0.005","0.594","interacts-with","HNRNPL (interacts-with) KHDRBS1","false","interacts-with","HNRNPL (interacts-with) KHDRBS1"
"0","0.015","0.262","0.433","0.448","0.036","0.461","interacts-with","BCLAF1 (interacts-with) RBMXL1","false","interacts-with","BCLAF1 (interacts-with) RBMXL1"
"0","0.161","0.518","0.091","0.251","0.166","0.316","interacts-with","KMT2C (interacts-with) NIPBL","false","interacts-with","KMT2C (interacts-with) NIPBL"
"0","0.013","0.305","0.014","0.02","0.036","0.208","interacts-with","LILRA1 (interacts-with) SIGLEC1","false","interacts-with","LILRA1 (interacts-with) SIGLEC1"
"0","0.048","0.388","0.042","0.053","0.002","0.231","interacts-with","LILRA1 (interacts-with) SIRPA","false","interacts-with","LILRA1 (interacts-with) SIRPA"
"0","0.022","0.133","0.495","0.047","0.123","0.445","interacts-with","HERC2 (interacts-with) UBC","false","interacts-with","HERC2 (interacts-with) UBC"
"0","0.077","0.368","0.078","0.086","0.081","0.267","interacts-with","LILRB2 (interacts-with) SIRPB1","false","interacts-with","LILRB2 (interacts-with) SIRPB1"
"0","0.261","0.483","0.156","0.248","0.124","0.38","interacts-with","LILRB2 (interacts-with) SIRPA","false","interacts-with","LILRB2 (interacts-with) SIRPA"
"0","0.099","0.195","0.29","0.2","0.002","0.192","interacts-with","AFTPH (interacts-with) AP2M1","false","interacts-with","AFTPH (interacts-with) AP2M1"
"0","0.155","0.321","0.227","0.42","0.004","0.334","interacts-with","HADHB (interacts-with) SDHA","false","interacts-with","HADHB (interacts-with) SDHA"
"0","0.078","0.449","0.119","0.001","0.073","0.198","interacts-with","RAD54B (interacts-with) TICRR","false","interacts-with","RAD54B (interacts-with) TICRR"
"0","0.012","0.153","0.431","0.18","0.106","0.24","interacts-with","RPL10 (interacts-with) RRBP1","false","interacts-with","RPL10 (interacts-with) RRBP1"
"0","0.031","0.313","0.2","0.175","0.073","0.214","interacts-with","FUBP1 (interacts-with) TOP2B","false","interacts-with","FUBP1 (interacts-with) TOP2B"
"0","0.019","0.399","0.163","0.203","0.134","0.245","interacts-with","KMT2D (interacts-with) NIPBL","false","interacts-with","KMT2D (interacts-with) NIPBL"
"0","0.398","0.433","0.026","0.005","0.195","0.315","interacts-with","TAS2R19 (interacts-with) TAS2R31","false","interacts-with","TAS2R19 (interacts-with) TAS2R31"
"0","0.004","0.393","0.099","0.513","0.004","0.46","interacts-with","DOCK2 (interacts-with) INPP5D","false","interacts-with","DOCK2 (interacts-with) INPP5D"
"0","0.002","0.246","0.456","0.006","0.077","0.416","interacts-with","OBSCN (interacts-with) TTN","false","interacts-with","OBSCN (interacts-with) TTN"
"0","0.024","0.307","0.132","0.265","0.003","0.204","interacts-with","CILP2 (interacts-with) COL5A1","false","interacts-with","CILP2 (interacts-with) COL5A1"
"0","0.084","0.36","0.636","0.487","0.737","0.916","interacts-with","SF3A2 (interacts-with) SF3A3","false","interacts-with","SF3A2 (interacts-with) SF3A3"
"0","0.004","0.547","0.002","0.069","0.165","0.371","interacts-with","KDM5D (interacts-with) USP9Y","false","interacts-with","KDM5D (interacts-with) USP9Y"
"0","0.042","0.186","0.451","0.292","0.006","0.414","interacts-with","MYO1C (interacts-with) SVIL","false","interacts-with","MYO1C (interacts-with) SVIL"
"0","0.045","0.466","0.156","0.381","0.0","0.423","interacts-with","FCGR2A (interacts-with) SIRPA","false","interacts-with","FCGR2A (interacts-with) SIRPA"
"0","0.013","0.288","0.093","0.004","0.079","0.194","interacts-with","OBSCN (interacts-with) RYR1","false","interacts-with","OBSCN (interacts-with) RYR1"
"0","0.027","0.459","0.003","0.274","0.104","0.307","interacts-with","LILRB2 (interacts-with) STAB1","false","interacts-with","LILRB2 (interacts-with) STAB1"
"0","0.004","0.524","0.075","0.005","0.359","0.351","interacts-with","KDM5D (interacts-with) UTY","false","interacts-with","KDM5D (interacts-with) UTY"
"0","0.027","0.188","0.355","0.3","0.036","0.186","interacts-with","RBMXL1 (interacts-with) SRRM2","false","interacts-with","RBMXL1 (interacts-with) SRRM2"
"0","0.013","0.399","0.014","0.284","0.036","0.219","interacts-with","FCGR2A (interacts-with) SIGLEC1","false","interacts-with","FCGR2A (interacts-with) SIGLEC1"
"0","0.083","0.34","0.079","0.002","0.097","0.237","interacts-with","NEB (interacts-with) RYR1","false","interacts-with","NEB (interacts-with) RYR1"
"0","0.193","0.304","0.527","0.074","0.086","0.613","interacts-with","EP400 (interacts-with) EPC1","false","interacts-with","EP400 (interacts-with) EPC1"
"0","0.052","0.285","0.003","0.007","0.085","0.213","interacts-with","LILRA2 (interacts-with) LILRB1","false","interacts-with","LILRA2 (interacts-with) LILRB1"
"0","0.072","0.41","0.043","0.044","0.006","0.234","interacts-with","MYLK3 (interacts-with) NEB","false","interacts-with","MYLK3 (interacts-with) NEB"
"0","0.04","0.348","0.001","0.047","0.103","0.181","interacts-with","HLA-DQA1 (interacts-with) HLA-DQA2","false","interacts-with","HLA-DQA1 (interacts-with) HLA-DQA2"
"0","0.057","0.287","0.014","0.02","0.036","0.19","interacts-with","ZNF320 (interacts-with) ZNF559","false","interacts-with","ZNF320 (interacts-with) ZNF559"
"0","0.008","0.584","0.084","0.02","0.036","0.329","interacts-with","ANKRD36 (interacts-with) ANKRD36C","false","interacts-with","ANKRD36 (interacts-with) ANKRD36C"
"0","0.051","0.351","0.042","0.241","0.0","0.191","interacts-with","HLA-DQA1 (interacts-with) HLA-DQB2","false","interacts-with","HLA-DQA1 (interacts-with) HLA-DQB2"
"0","0.044","0.246","0.121","0.066","0.087","0.212","interacts-with","NEB (interacts-with) PDE4DIP","false","interacts-with","NEB (interacts-with) PDE4DIP"
"0","0.041","0.369","0.003","0.04","0.072","0.23","interacts-with","LILRA2 (interacts-with) LILRB2","false","interacts-with","LILRA2 (interacts-with) LILRB2"
"0","0.023","0.306","0.551","0.446","0.465","0.699","interacts-with","SF3A2 (interacts-with) SNRNP200","false","interacts-with","SF3A2 (interacts-with) SNRNP200"
"0","0.06","0.243","0.079","0.36","0.228","0.197","interacts-with","CFH (interacts-with) LPA","false","interacts-with","CFH (interacts-with) LPA"
"0","0.001","0.528","0.06","0.45","0.001","0.298","interacts-with","HLA-DQA1 (interacts-with) HLA-DRB5","false","interacts-with","HLA-DQA1 (interacts-with) HLA-DRB5"
"0","0.048","0.559","0.13","0.483","0.007","0.548","interacts-with","LILRB1 (interacts-with) LILRB2","false","interacts-with","LILRB1 (interacts-with) LILRB2"
"0","0.003","0.385","0.139","0.067","0.004","0.256","interacts-with","ARHGEF5 (interacts-with) EPPK1","false","interacts-with","ARHGEF5 (interacts-with) EPPK1"
"0","0.019","0.412","0.027","0.379","0.075","0.314","interacts-with","FCGR2A (interacts-with) STAB1","false","interacts-with","FCGR2A (interacts-with) STAB1"
"0","0.012","0.285","0.098","0.498","0.004","0.486","interacts-with","C3 (interacts-with) C4B","false","interacts-with","C3 (interacts-with) C4B"
"0","0.018","0.38","0.003","0.068","0.103","0.218","interacts-with","FLG (interacts-with) KRT5","false","interacts-with","FLG (interacts-with) KRT5"
"0","0.051","0.282","0.024","0.006","0.2","0.216","interacts-with","LILRA1 (interacts-with) TRPM2","false","interacts-with","LILRA1 (interacts-with) TRPM2"
"0","0.1","0.534","0.135","0.039","0.211","0.406","interacts-with","FLG (interacts-with) KPRP","false","interacts-with","FLG (interacts-with) KPRP"
"0","0.071","0.165","0.516","0.289","0.013","0.465","interacts-with","AP2M1 (interacts-with) KIF13A","false","interacts-with","AP2M1 (interacts-with) KIF13A"
"0","0.001","0.216","0.38","0.248","0.036","0.263","interacts-with","BCLAF1 (interacts-with) SCAF1","false","interacts-with","BCLAF1 (interacts-with) SCAF1"
"0","0.103","0.36","0.238","0.355","0.004","0.28","interacts-with","CHD8 (interacts-with) NIPBL","false","interacts-with","CHD8 (interacts-with) NIPBL"
"0","0.071","0.231","0.25","0.353","0.036","0.218","interacts-with","RBMXL1 (interacts-with) U2AF2","false","interacts-with","RBMXL1 (interacts-with) U2AF2"
"0","0.016","0.34","0.108","0.02","0.036","0.231","interacts-with","CYP2A6 (interacts-with) GBP7","false","interacts-with","CYP2A6 (interacts-with) GBP7"
"0","0.027","0.083","0.09","0.044","0.431","0.245","interacts-with","CACNA1A (interacts-with) CACNA2D2","false","interacts-with","CACNA1A (interacts-with) CACNA2D2"
"0","0.146","0.384","0.12","0.254","0.166","0.191","interacts-with","ARHGEF5 (interacts-with) LAMA3","false","interacts-with","ARHGEF5 (interacts-with) LAMA3"
"0","0.013","0.558","0.332","0.051","0.011","0.44","interacts-with","FLG (interacts-with) FLG2","false","interacts-with","FLG (interacts-with) FLG2"
"0","0.0","0.316","0.115","0.541","0.09","0.4","interacts-with","CFH (interacts-with) SERPINA1","false","interacts-with","CFH (interacts-with) SERPINA1"
"0","0.089","0.096","0.434","0.225","0.036","0.208","interacts-with","FAM8A1 (interacts-with) MBOAT7","false","interacts-with","FAM8A1 (interacts-with) MBOAT7"
"0","0.04","0.24","0.393","0.094","0.083","0.202","interacts-with","DHX29 (interacts-with) PRKRA","false","interacts-with","DHX29 (interacts-with) PRKRA"
"0","0.002","0.421","0.014","0.02","0.036","0.187","interacts-with","ZNF345 (interacts-with) ZNF527","false","interacts-with","ZNF345 (interacts-with) ZNF527"
"0","0.123","0.303","0.211","0.159","0.171","0.205","interacts-with","BAZ1B (interacts-with) SETD1A","false","interacts-with","BAZ1B (interacts-with) SETD1A"
"0","0.041","0.246","0.075","0.341","0.003","0.212","interacts-with","LPA (interacts-with) SERPINA1","false","interacts-with","LPA (interacts-with) SERPINA1"
"0","0.008","0.351","0.014","0.02","0.036","0.244","interacts-with","INPP5D (interacts-with) RUBCNL","false","interacts-with","INPP5D (interacts-with) RUBCNL"
"0","0.103","0.292","0.028","0.041","0.105","0.192","interacts-with","GPNMB (interacts-with) LILRA1","false","interacts-with","GPNMB (interacts-with) LILRA1"
"0","0.026","0.181","0.425","0.265","0.002","0.277","interacts-with","RAB7A (interacts-with) RAB12","false","interacts-with","RAB7A (interacts-with) RAB12"
"0","0.019","0.335","0.158","0.456","0.096","0.376","interacts-with","APOB (interacts-with) C3","false","interacts-with","APOB (interacts-with) C3"
